Period,Region,Plant / TPS Name,"Installed
MW",CIL,SCCL,"Captive
Mines",E-Auction,Import,Others,"Total
Receipt","Total
Consumption","Closing
Stocks","Stock Cover
(Days)"
April 2023,Northern,INDIRA GANDHI STPP,"1,500",489.444,12.145,0.000,0.000,0.000,0.000,501.589,480.948,255.990,16.0
April 2023,Northern,MAHATMA GANDHI TPS,"1,320",411.916,0.000,0.000,0.000,0.000,0.000,411.916,294.928,478.660,48.7
April 2023,Northern,PANIPAT TPS,710,244.142,0.000,0.000,0.000,0.000,0.000,244.142,127.869,504.480,118.4
April 2023,Northern,RAJIV GANDHI TPS,"1,200",294.053,0.000,0.000,0.000,0.000,0.000,294.053,384.312,340.869,26.6
April 2023,Northern,YAMUNA NAGAR TPS,600,255.078,0.000,0.000,0.000,0.000,0.000,255.078,230.805,235.075,30.6
May 2023,Northern,INDIRA GANDHI STPP,"1,500",605.370,0.000,0.000,24.150,0.070,0.000,629.590,321.965,563.610,52.5
May 2023,Northern,MAHATMA GANDHI TPS,"1,320",289.623,0.000,0.000,0.000,0.000,0.000,289.623,426.964,353.740,24.9
May 2023,Northern,PANIPAT TPS,710,93.900,0.000,0.000,0.000,0.000,0.000,93.900,197.557,400.828,60.9
May 2023,Northern,RAJIV GANDHI TPS,"1,200",114.752,0.000,0.000,0.000,0.000,0.000,114.752,202.057,253.564,37.6
May 2023,Northern,YAMUNA NAGAR TPS,600,114.515,0.000,0.000,0.000,0.000,0.000,114.515,191.129,158.460,24.9
June 2023,Northern,INDIRA GANDHI STPP,"1,500",475.863,0.277,0.000,88.716,0.000,0.000,564.855,459.694,654.852,42.7
June 2023,Northern,MAHATMA GANDHI TPS,"1,320",406.427,0.000,0.000,0.000,0.000,0.000,406.427,453.957,287.220,19.0
June 2023,Northern,PANIPAT TPS,710,75.991,0.000,0.000,0.000,0.000,0.000,75.991,275.788,201.030,21.9
June 2023,Northern,RAJIV GANDHI TPS,"1,200",145.839,0.000,0.000,0.000,0.000,0.000,145.839,264.130,135.273,15.4
June 2023,Northern,YAMUNA NAGAR TPS,600,175.512,0.000,0.000,0.000,0.000,0.000,175.512,217.162,116.810,16.1
July 2023,Northern,INDIRA GANDHI STPP,"1,500",335.489,0.000,0.000,51.730,0.000,0.000,387.219,451.607,587.715,39.0
July 2023,Northern,MAHATMA GANDHI TPS,"1,320",514.655,0.000,0.000,0.000,0.000,0.000,514.655,452.320,347.360,23.0
July 2023,Northern,PANIPAT TPS,710,210.286,0.000,0.000,0.000,0.000,0.000,210.286,291.584,119.720,12.3
July 2023,Northern,RAJIV GANDHI TPS,"1,200",358.306,0.000,0.000,0.000,0.000,0.000,358.306,195.745,297.834,45.6
July 2023,Northern,YAMUNA NAGAR TPS,600,263.837,0.000,0.000,0.000,0.000,0.000,263.837,220.097,160.610,21.9
August 2023,Northern,INDIRA GANDHI STPP,"1,500",279.273,0.000,0.000,0.000,0.256,0.000,279.529,559.115,308.120,16.5
August 2023,Northern,MAHATMA GANDHI TPS,"1,320",430.192,0.000,0.000,0.000,0.000,0.000,430.192,493.023,290.650,17.7
August 2023,Northern,PANIPAT TPS,710,284.701,0.000,0.000,0.000,0.000,0.000,284.701,302.567,101.750,10.1
August 2023,Northern,RAJIV GANDHI TPS,"1,200",347.763,0.000,0.000,0.000,0.000,0.000,347.763,280.717,364.880,39.0
August 2023,Northern,YAMUNA NAGAR TPS,600,256.604,0.000,0.000,0.000,0.000,0.000,256.604,256.717,160.500,18.8
September 2023,Northern,INDIRA GANDHI STPP,"1,500",332.060,0.000,0.000,0.000,0.000,0.000,332.060,514.020,122.080,7.1
September 2023,Northern,MAHATMA GANDHI TPS,"1,320",398.497,0.000,0.000,0.000,0.000,0.000,398.497,379.470,308.580,24.4
September 2023,Northern,PANIPAT TPS,710,281.261,0.000,0.000,0.000,0.000,0.000,281.261,317.268,65.740,6.2
September 2023,Northern,RAJIV GANDHI TPS,"1,200",265.310,0.000,0.000,0.000,0.000,0.000,265.310,356.265,273.925,23.1
September 2023,Northern,YAMUNA NAGAR TPS,600,183.634,0.000,0.000,0.000,0.000,0.000,183.634,249.952,94.180,11.3
October 2023,Northern,INDIRA GANDHI STPP,"1,500",526.533,0.000,0.000,43.476,0.000,0.000,570.009,580.030,107.799,5.6
October 2023,Northern,MAHATMA GANDHI TPS,"1,320",259.650,0.000,0.000,0.000,0.000,0.000,259.650,554.134,30.800,1.7
October 2023,Northern,PANIPAT TPS,710,211.331,0.000,0.000,0.000,0.000,0.000,211.331,215.423,61.650,8.6
October 2023,Northern,RAJIV GANDHI TPS,"1,200",142.079,0.000,0.000,0.000,0.000,0.000,142.079,437.711,0.000,0.0
October 2023,Northern,YAMUNA NAGAR TPS,600,192.256,0.000,0.000,0.000,0.000,0.000,192.256,226.293,50.890,6.7
November 2023,Northern,INDIRA GANDHI STPP,"1,500",381.958,0.000,0.000,35.706,0.552,0.000,418.216,453.393,69.552,4.6
November 2023,Northern,MAHATMA GANDHI TPS,"1,320",568.087,0.000,0.000,0.000,0.000,0.000,568.087,493.811,105.910,6.4
November 2023,Northern,PANIPAT TPS,710,218.506,0.000,0.000,0.000,0.000,0.000,218.506,100.495,179.670,53.6
