school_id,district,stratum,treatment,location,n_teachers,n_teachers_fem,female_head_teacher,n_students_fem,n_students_male,n_schools_2km,av_teacher_age,av_student_score,n_latrines
1,1,59,1,1,13,8,0,206,188,0,44.69230651855469,264,14
2,1,74,0,2,16,8,0,151,162,0,40.25,209,6
3,1,60,1,1,24,18,0,358,330,4,38.82352828979492,309,20
4,1,75,1,1,19,14,0,164,185,1,-99,340,8
5,1,73,1,2,14,4,0,244,250,1,39.14285659790039,218,5
6,1,75,0,1,28,24,0,473,514,0,41.14285659790039,247,10
7,1,60,0,2,15,11,1,288,248,1,41.266666412353516,244,12
8,1,59,0,2,14,7,0,269,237,0,39.07143020629883,244,11
9,1,74,1,1,20,17,1,158,165,1,41.25,264,6
10,1,73,0,1,26,15,0,343,350,1,43.80769348144531,248,15
11,1,61,0,2,12,5,0,341,324,1,37.3636360168457,206,11
12,1,67,0,2,22,14,0,382,400,0,40.71428680419922,263,12
13,1,76,1,2,16,9,0,291,295,0,43.4375,218,6
14,1,77,1,2,13,5,0,229,263,0,42.153846740722656,259,8
15,1,77,0,2,28,19,0,444,442,0,42.730770111083984,257,13
16,1,61,0,2,13,7,0,267,263,1,40.230770111083984,251,9
17,1,76,0,2,7,1,0,95,132,1,40.42856979370117,218,6
18,1,78,0,2,12,8,0,166,193,2,40.16666793823242,251,6
19,1,78,1,1,24,19,0,245,307,0,40.95833206176758,249,13
20,1,67,1,2,13,5,0,212,219,0,37.6363639831543,280,11
21,1,61,1,2,13,9,0,194,188,0,43.272727966308594,240,8
22,1,62,0,2,13,1,0,421,383,1,39.07692337036133,264,10
23,1,79,0,2,19,12,0,287,309,0,44.09090805053711,242,14
24,1,81,0,1,17,9,0,189,218,3,40.5625,270,10
25,1,63,1,1,15,8,0,271,203,0,46.07692337036133,260,10
26,1,81,1,2,16,9,0,245,251,2,39.13333511352539,260,10
27,1,79,1,2,12,4,0,197,205,0,41.33333206176758,250,6
28,1,80,0,2,12,3,0,304,333,0,36.08333206176758,252,11
29,1,63,0,2,15,6,0,322,320,1,35.266666412353516,276,14
30,1,80,1,2,15,7,0,175,199,2,43.20000076293945,230,10
31,1,62,1,2,14,6,0,202,187,2,42.230770111083984,274,12
32,1,53,0,2,13,8,0,252,241,0,45.38461685180664,207,8
33,1,66,1,2,13,6,1,262,301,0,42.61538314819336,224,12
34,1,65,0,2,16,8,0,318,326,0,45.266666412353516,219,7
35,1,65,1,2,14,8,0,408,434,1,44.78571319580078,215,18
36,1,66,0,2,14,7,0,387,404,3,47.21428680419922,203,5
37,1,53,1,2,16,3,0,420,373,2,44,252,12
