student_id,sex,yob
3760021,1,1991
11660058,1,1988
7860097,1,1989
10360023,1,1989
1160001,1,1988
1060011,1,9999
12160027,1,1989
560037,1,1992
9860059,1,1989
3460064,1,1992
3460052,1,1988
14360117,1,1990
12560025,1,1991
8560062,1,1990
1160027,1,1989
4960002,1,1989
13860004,1,1990
13660028,1,1988
12360022,1,1987
6960007,1,1990
6360069,1,1990
9460024,1,1988
11760043,1,1987
158860084,1,1990
6860043,1,1991
5160084,1,1987
9060019,1,9999
1360015,1,1990
8160036,1,1988
8060057,1,1989
1360047,1,1990
6760004,1,1990
8060013,1,1988
160027,1,1988
10660024,1,1989
8150050,1,1987
11960074,1,1990
13860119,1,1991
14960022,1,1990
760033,1,9999
12060004,1,1989
560041,1,1988
8560041,1,1989
5160041,1,1989
8560084,1,1987
8460010,1,1990
14660001,1,1986
7360027,1,1991
14260003,1,1989
6960073,1,1989
11460047,1,1988
161160031,1,9999
13060004,1,1987
1160013,1,1989
3660003,1,1990
5060090,1,1989
7860045,1,1988
5660067,1,1989
14960013,1,1989
8360043,1,1988
10960051,1,1989
164960034,1,1987
3560079,1,9999
7360021,1,1991
4360028,1,1989
13360076,1,1991
6960088,1,1991
360060,1,1992
13860120,1,1990
1260027,1,1991
2160043,1,1988
4860006,1,1985
15060025,1,1990
12860026,1,9999
161160009,1,1991
2660004,1,1988
8160031,1,1988
11660019,1,1988
1560104,1,1990
3260047,1,1989
5160100,1,9999
6160016,1,1988
3660008,1,1989
4960032,1,1989
1260011,1,1991
8660013,1,1991
3660029,1,1987
2260037,1,1990
3660041,1,1988
3660056,1,9999
3660064,1,1990
13160058,1,1991
1360031,1,1989
11060058,1,1990
7560044,1,1991
3660005,1,1989
3660053,1,1988
2360063,1,1988
3660074,1,1989
360059,1,1989
13760065,1,1988
1960037,1,1989
4860013,1,1986
4060051,1,1992
7560019,1,1989
6960052,1,1991
3660081,1,1989
15560020,1,1989
6860003,1,1990
12260037,1,1989
12660025,1,1991
3660012,1,1991
14360079,1,1989
13160028,1,1991
10160026,1,1989
13860054,1,1991
3560035,1,1991
158860022,1,1989
2060035,1,1990
6760062,1,1992
9660032,1,1990
3560049,1,1992
3560077,1,1991
3560080,1,1985
11860067,1,1987
4360032,1,1988
9360021,1,1989
3560041,1,1987
13060027,1,1986
11060033,1,1991
12960061,1,1988
12960036,1,1987
3560040,1,1989
11160086,1,1987
4860004,1,1988
3560048,1,1989
3560038,1,9999
10060006,1,1989
4960017,1,1988
4360027,1,1987
12160064,1,1989
11760009,1,1992
1560071,1,1990
6360018,1,1992
12260041,1,1988
6460011,1,1987
5360037,1,1990
3460072,1,1987
13160070,1,1989
13360015,1,1989
5560031,1,1990
14960010,1,1990
12150085,1,1989
2360048,1,1991
11960077,1,1990
5660046,1,1990
11860036,1,1989
3460058,1,1989
3460049,1,1988
14660015,1,1990
8260051,1,1990
4960050,1,1987
11660008,1,1990
3460014,1,1990
12260030,1,1990
4660056,1,1988
5060065,1,9999
10660035,1,1988
13860099,1,1990
13860127,1,1992
3160014,1,1992
7060009,1,1988
15060030,1,1990
2060040,1,1991
14360097,1,1991
15060009,1,9999
83600461,1,1987
14460013,1,1992
4460022,1,1990
5860044,1,1988
1060020,1,1990
11060012,1,1991
8360015,1,1990
3160023,1,1985
6560018,1,1990
9560034,1,1991
10560050,1,1992
10860056,1,1991
6360057,1,1991
10760042,1,1991
12760019,1,9999
5860040,1,1990
7560053,1,1986
2360040,1,1990
7860015,1,1990
5360016,1,1990
4060003,1,1987
10660048,1,1989
10460050,1,1991
5960038,1,1989
260003,1,1987
5250017,1,9999
3360011,1,1989
10960056,1,1990
360080,1,1991
11060010,1,1988
3360027,1,1989
6960068,1,9999
14560027,1,1989
1660048,1,1988
3960062,1,1989
10860106,1,1988
1660046,1,1990
9960023,1,1990
11860057,1,1988
11960033,1,1987
158860083,1,1989
3560083,1,1989
3260041,1,1990
660129,1,1992
6460026,1,1989
3260029,1,1991
3260043,1,1987
5160034,1,1992
4860032,1,1992
5160107,1,1989
4760010,1,1991
8060073,1,1992
3560088,1,1989
13660040,1,1990
660028,1,1991
5660063,1,9999
6260034,1,1990
5060094,1,1991
4260051,1,1988
11060064,1,1986
6360042,1,1992
5360011,1,1988
4460035,1,1990
2960053,1,1989
15260056,1,1987
5960010,1,1991
12560053,1,1989
164960026,1,1989
1060008,1,1989
11560038,1,1990
13860075,1,1990
11160057,1,1988
5660018,1,1991
3160021,1,1990
6760046,1,1990
7360039,1,1988
7960048,1,1990
11660049,1,1989
10860110,1,1990
161160032,1,1987
3060040,1,1988
3060041,1,1987
3060038,1,1987
3960026,1,1989
4760004,1,1992
14860007,1,1988
6460036,1,1990
7760035,1,1988
11260049,1,1991
12860077,1,1988
360082,1,1991
2760021,1,1990
8160029,1,1986
11460031,1,1991
8360049,1,1988
164960038,1,1989
160060061,1,1990
1160018,1,1990
2960091,1,1990
2960089,1,1989
3560034,1,1987
2960093,1,1989
6960015,1,1987
15060020,1,1989
2960070,1,9999
11160043,1,1987
3960029,1,1989
9260028,1,1990
14860019,1,1989
9960009,1,1990
