Brand,Model,Acceleration (s),Top Speed (km/h),Range (km),Efficiency (Wh/km),Fast Charge (km/h),Price
Tesla ,Model 3 Long Range Dual Motor,4.6,233,450,161,940,55480
Volkswagen ,ID.3 Pure,10,160,270,167,250,30000
Polestar ,2,4.7,210,400,181,620,56440
BMW ,iX3 ,6.8,180,360,206,560,68040
Honda ,e ,9.5,145,170,168,190,32997
Lucid ,Air ,2.8,250,610,180,620,105000
Volkswagen ,e-Golf ,9.6,150,190,168,220,31900
Peugeot ,e-208 ,8.1,150,275,164,420,29682
Tesla ,Model 3 Standard Range Plus,5.6,225,310,153,650,46380
Audi ,Q4 e-tron ,6.3,180,400,193,540,55000
Mercedes ,EQC 400 4MATIC,5.1,180,370,216,440,69484
Nissan ,Leaf ,7.9,144,220,164,230,29234
Hyundai ,Kona Electric 64 kWh,7.9,167,400,160,380,40795
BMW ,i4 ,4,200,450,178,650,65000
Hyundai ,IONIQ Electric,9.7,165,250,153,210,34459
Volkswagen ,ID.3 Pro S,7.9,160,440,175,590,40936
Porsche ,Taycan Turbo S,2.8,260,375,223,780,180781
Volkswagen ,e-Up! ,11.9,130,195,166,170,21421
MG ,ZS EV,8.2,140,220,193,260,30000
Mini ,Cooper SE ,7.3,150,185,156,260,31681
Opel ,Corsa-e ,8.1,150,275,164,420,29146
Tesla ,Model Y Long Range Dual Motor,5.1,217,425,171,930,58620
Skoda ,Enyaq iV 50,10,160,290,179,230,35000
Audi ,e-tron GT ,3.5,240,425,197,850,125000
Tesla ,Model 3 Long Range Performance,3.4,261,435,167,910,61480
Volkswagen ,ID.4 ,7.5,160,420,183,560,45000
Volkswagen ,ID.3 Pro,9,160,350,166,490,33000
Volvo ,XC40 P8 AWD Recharge,4.9,180,375,200,470,60437
BMW ,i3 120 Ah,7.3,150,235,161,270,38017
Peugeot ,e-2008 SUV ,8.5,150,250,180,380,34361
Audi ,e-tron 50 quattro,6.8,190,280,231,450,67358
Kia ,e-Niro 64 kWh,7.8,167,370,173,350,38105
Renault ,Zoe ZE50 R110,11.4,135,315,165,230,31184
Tesla ,Cybertruck Tri Motor,3,210,750,267,710,75000
Mazda ,MX-30 ,9,150,180,178,240,32646
Nissan ,Leaf e+,7.3,157,325,172,390,37237
Lexus ,UX 300e,7.5,160,270,193,190,50000
CUPRA ,el-Born ,6.5,160,425,181,570,45000
Renault ,Zoe ZE50 R135,9.5,140,310,168,230,33133
Mercedes ,EQA ,5,200,350,171,440,45000
Tesla ,Model S Long Range,3.8,250,515,184,560,79990
Hyundai ,Kona Electric 39 kWh,9.9,155,255,154,210,33971
Audi ,e-tron Sportback 55 quattro,5.7,200,380,228,610,81639
Skoda ,CITIGOe iV ,12.3,130,195,166,170,24534
SEAT ,Mii Electric ,12.3,130,195,166,170,20129
Kia ,e-Soul 64 kWh,7.9,167,365,175,340,36837
Opel ,Ampera-e ,7.3,150,335,173,210,41906
Porsche ,Taycan 4S,4,250,365,195,730,102945
Lightyear ,One ,10,150,575,104,540,149000
Aiways ,U5 ,9,150,335,188,350,36057
Audi ,e-tron 55 quattro,5.7,200,365,237,590,79445
Tesla ,Roadster ,2.1,410,970,206,920,215000
Opel ,Mokka-e ,8.5,150,255,176,390,35000
Skoda ,Enyaq iV 80,8.8,160,420,183,560,40000
Tesla ,Model X Long Range,4.6,250,450,211,490,85990
Honda ,e Advance,8.3,145,170,168,190,35921
DS ,3 Crossback E-Tense,8.7,150,250,180,380,37422
Renault ,Twingo ZE,12.6,135,130,164,,24790
Citroen ,e-C4 ,9.7,150,250,180,380,40000
Tesla ,Model S Performance,2.5,261,505,188,550,96990
Renault ,Zoe ZE40 R110,11.4,135,255,161,230,29234
Tesla ,Model Y Long Range Performance,3.7,241,410,177,900,65620
Nissan ,Ariya 87kWh,7.6,160,440,198,520,50000
Jaguar ,I-Pace ,4.8,200,365,232,340,75351
Ford ,Mustang Mach-E ER RWD,7,180,450,200,430,54475
Porsche ,Taycan 4S Plus,4,250,425,197,890,109302
Nissan ,e-NV200 Evalia ,14,123,190,200,190,33246
Tesla ,Cybertruck Dual Motor,5,190,460,261,710,55000
Renault ,Kangoo Maxi ZE 33,22.4,130,160,194,,38000
Ford ,Mustang Mach-E ER AWD,6,180,430,209,410,62900
BMW ,i3s 120 Ah,6.9,160,230,165,260,41526
Skoda ,Enyaq iV 80X,7,250,400,193,540,45000
Porsche ,Taycan Cross Turismo ,3.5,190,385,217,770,150000
Byton ,M-Byte 95 kWh 4WD,5.5,140,390,244,460,64000
Sono ,Sion ,9,155,225,156,270,25500
Kia ,e-Niro 39 kWh,9.8,180,235,167,230,34400
Audi ,Q4 Sportback e-tron ,6.3,,410,188,550,57500
Smart ,EQ forfour ,12.7,130,95,176,,22030
Ford ,Mustang Mach-E SR AWD,6,180,340,206,360,54000
Porsche ,Taycan Turbo,3.2,260,390,215,810,148301
Volkswagen ,ID.3 1st,7.3,160,340,171,470,38987
Tesla ,Model X Performance,2.8,250,440,216,480,102990
Smart ,EQ fortwo coupe,11.6,130,100,167,,21387
Ford ,Mustang Mach-E SR RWD,6.6,180,360,194,380,46900
Mercedes ,EQV 300 Long,10,140,330,273,290,70631
Fiat ,500e Hatchback,9,150,250,168,330,34900
Tesla ,Cybertruck Single Motor,7,180,390,256,740,45000
Audi ,e-tron Sportback 50 quattro,6.8,190,295,219,470,69551
Skoda ,Enyaq iV vRS,6.2,180,400,193,540,47500
